isogroup14450	A0A0H2URK1	GO:0009986; GO:0005576; GO:0009275; GO:0003677; GO:0007155; GO:0009405; GO:0044010
isogroup14911	A0A0H2URK1	GO:0009986; GO:0005576; GO:0009275; GO:0003677; GO:0007155; GO:0009405; GO:0044010
isogroup14943	A0A0H2URK1	GO:0009986; GO:0005576; GO:0009275; GO:0003677; GO:0007155; GO:0009405; GO:0044010
isogroup14981	A0A0H2URK1	GO:0009986; GO:0005576; GO:0009275; GO:0003677; GO:0007155; GO:0009405; GO:0044010
isogroup150500	A0A0H2URK1	GO:0009986; GO:0005576; GO:0009275; GO:0003677; GO:0007155; GO:0009405; GO:0044010
isogroup150502	A0A0H2URK1	GO:0009986; GO:0005576; GO:0009275; GO:0003677; GO:0007155; GO:0009405; GO:0044010
isogroup15055	A0A0H2URK1	GO:0009986; GO:0005576; GO:0009275; GO:0003677; GO:0007155; GO:0009405; GO:0044010
isogroup16279	A0A0H2URK1	GO:0009986; GO:0005576; GO:0009275; GO:0003677; GO:0007155; GO:0009405; GO:0044010
isogroup1673	A0A0H2URK1	GO:0009986; GO:0005576; GO:0009275; GO:0003677; GO:0007155; GO:0009405; GO:0044010
isogroup18365	A0A0H2URK1	GO:0009986; GO:0005576; GO:0009275; GO:0003677; GO:0007155; GO:0009405; GO:0044010
isogroup19107	A0A0H2URK1	GO:0009986; GO:0005576; GO:0009275; GO:0003677; GO:0007155; GO:0009405; GO:0044010
isogroup194	A0A0H2URK1	GO:0009986; GO:0005576; GO:0009275; GO:0003677; GO:0007155; GO:0009405; GO:0044010
isogroup19914	A0A0H2URK1	GO:0009986; GO:0005576; GO:0009275; GO:0003677; GO:0007155; GO:0009405; GO:0044010
isogroup20166	A0A0H2URK1	GO:0009986; GO:0005576; GO:0009275; GO:0003677; GO:0007155; GO:0009405; GO:0044010
isogroup20177	A0A0H2URK1	GO:0009986; GO:0005576; GO:0009275; GO:0003677; GO:0007155; GO:0009405; GO:0044010
isogroup2034	A0A0H2URK1	GO:0009986; GO:0005576; GO:0009275; GO:0003677; GO:0007155; GO:0009405; GO:0044010
isogroup20845	A0A0H2URK1	GO:0009986; GO:0005576; GO:0009275; GO:0003677; GO:0007155; GO:0009405; GO:0044010
isogroup21353	A0A0H2URK1	GO:0009986; GO:0005576; GO:0009275; GO:0003677; GO:0007155; GO:0009405; GO:0044010
isogroup23207	A0A0H2URK1	GO:0009986; GO:0005576; GO:0009275; GO:0003677; GO:0007155; GO:0009405; GO:0044010
isogroup23270	A0A0H2URK1	GO:0009986; GO:0005576; GO:0009275; GO:0003677; GO:0007155; GO:0009405; GO:0044010
isogroup23349	A0A0H2URK1	GO:0009986; GO:0005576; GO:0009275; GO:0003677; GO:0007155; GO:0009405; GO:0044010
isogroup24102	A0A0H2URK1	GO:0009986; GO:0005576; GO:0009275; GO:0003677; GO:0007155; GO:0009405; GO:0044010
isogroup2454	A0A0H2URK1	GO:0009986; GO:0005576; GO:0009275; GO:0003677; GO:0007155; GO:0009405; GO:0044010
isogroup26105	A0A0H2URK1	GO:0009986; GO:0005576; GO:0009275; GO:0003677; GO:0007155; GO:0009405; GO:0044010
isogroup26146	A0A0H2URK1	GO:0009986; GO:0005576; GO:0009275; GO:0003677; GO:0007155; GO:0009405; GO:0044010
isogroup28300	A0A0H2URK1	GO:0009986; GO:0005576; GO:0009275; GO:0003677; GO:0007155; GO:0009405; GO:0044010
isogroup28566	A0A0H2URK1	GO:0009986; GO:0005576; GO:0009275; GO:0003677; GO:0007155; GO:0009405; GO:0044010
isogroup29239	A0A0H2URK1	GO:0009986; GO:0005576; GO:0009275; GO:0003677; GO:0007155; GO:0009405; GO:0044010
isogroup30187	A0A0H2URK1	GO:0009986; GO:0005576; GO:0009275; GO:0003677; GO:0007155; GO:0009405; GO:0044010
isogroup30510	A0A0H2URK1	GO:0009986; GO:0005576; GO:0009275; GO:0003677; GO:0007155; GO:0009405; GO:0044010
isogroup31381	A0A0H2URK1	GO:0009986; GO:0005576; GO:0009275; GO:0003677; GO:0007155; GO:0009405; GO:0044010
isogroup31524	A0A0H2URK1	GO:0009986; GO:0005576; GO:0009275; GO:0003677; GO:0007155; GO:0009405; GO:0044010
isogroup31721	A0A0H2URK1	GO:0009986; GO:0005576; GO:0009275; GO:0003677; GO:0007155; GO:0009405; GO:0044010
isogroup32902	A0A0H2URK1	GO:0009986; GO:0005576; GO:0009275; GO:0003677; GO:0007155; GO:0009405; GO:0044010
isogroup33747	A0A0H2URK1	GO:0009986; GO:0005576; GO:0009275; GO:0003677; GO:0007155; GO:0009405; GO:0044010
isogroup3410	A0A0H2URK1	GO:0009986; GO:0005576; GO:0009275; GO:0003677; GO:0007155; GO:0009405; GO:0044010
isogroup34445	A0A0H2URK1	GO:0009986; GO:0005576; GO:0009275; GO:0003677; GO:0007155; GO:0009405; GO:0044010
isogroup35661	A0A0H2URK1	GO:0009986; GO:0005576; GO:0009275; GO:0003677; GO:0007155; GO:0009405; GO:0044010
isogroup36347	A0A0H2URK1	GO:0009986; GO:0005576; GO:0009275; GO:0003677; GO:0007155; GO:0009405; GO:0044010
isogroup36938	A0A0H2URK1	GO:0009986; GO:0005576; GO:0009275; GO:0003677; GO:0007155; GO:0009405; GO:0044010
isogroup37817	A0A0H2URK1	GO:0009986; GO:0005576; GO:0009275; GO:0003677; GO:0007155; GO:0009405; GO:0044010
isogroup37959	A0A0H2URK1	GO:0009986; GO:0005576; GO:0009275; GO:0003677; GO:0007155; GO:0009405; GO:0044010
isogroup38250	A0A0H2URK1	GO:0009986; GO:0005576; GO:0009275; GO:0003677; GO:0007155; GO:0009405; GO:0044010
isogroup38816	A0A0H2URK1	GO:0009986; GO:0005576; GO:0009275; GO:0003677; GO:0007155; GO:0009405; GO:0044010
isogroup39009	A0A0H2URK1	GO:0009986; GO:0005576; GO:0009275; GO:0003677; GO:0007155; GO:0009405; GO:0044010
isogroup39203	A0A0H2URK1	GO:0009986; GO:0005576; GO:0009275; GO:0003677; GO:0007155; GO:0009405; GO:0044010
isogroup39704	A0A0H2URK1	GO:0009986; GO:0005576; GO:0009275; GO:0003677; GO:0007155; GO:0009405; GO:0044010
isogroup3987	A0A0H2URK1	GO:0009986; GO:0005576; GO:0009275; GO:0003677; GO:0007155; GO:0009405; GO:0044010
isogroup40285	A0A0H2URK1	GO:0009986; GO:0005576; GO:0009275; GO:0003677; GO:0007155; GO:0009405; GO:0044010
isogroup40337	A0A0H2URK1	GO:0009986; GO:0005576; GO:0009275; GO:0003677; GO:0007155; GO:0009405; GO:0044010
isogroup41337	A0A0H2URK1	GO:0009986; GO:0005576; GO:0009275; GO:0003677; GO:0007155; GO:0009405; GO:0044010
isogroup4178	A0A0H2URK1	GO:0009986; GO:0005576; GO:0009275; GO:0003677; GO:0007155; GO:0009405; GO:0044010
isogroup4220	A0A0H2URK1	GO:0009986; GO:0005576; GO:0009275; GO:0003677; GO:0007155; GO:0009405; GO:0044010
isogroup5321	A0A0H2URK1	GO:0009986; GO:0005576; GO:0009275; GO:0003677; GO:0007155; GO:0009405; GO:0044010
isogroup5415	A0A0H2URK1	GO:0009986; GO:0005576; GO:0009275; GO:0003677; GO:0007155; GO:0009405; GO:0044010
isogroup5505	A0A0H2URK1	GO:0009986; GO:0005576; GO:0009275; GO:0003677; GO:0007155; GO:0009405; GO:0044010
isogroup5614	A0A0H2URK1	GO:0009986; GO:0005576; GO:0009275; GO:0003677; GO:0007155; GO:0009405; GO:0044010
isogroup5674	A0A0H2URK1	GO:0009986; GO:0005576; GO:0009275; GO:0003677; GO:0007155; GO:0009405; GO:0044010
isogroup5749	A0A0H2URK1	GO:0009986; GO:0005576; GO:0009275; GO:0003677; GO:0007155; GO:0009405; GO:0044010
isogroup5959	A0A0H2URK1	GO:0009986; GO:0005576; GO:0009275; GO:0003677; GO:0007155; GO:0009405; GO:0044010
isogroup7143	A0A0H2URK1	GO:0009986; GO:0005576; GO:0009275; GO:0003677; GO:0007155; GO:0009405; GO:0044010
isogroup8199	A0A0H2URK1	GO:0009986; GO:0005576; GO:0009275; GO:0003677; GO:0007155; GO:0009405; GO:0044010
isogroup8814	A0A0H2URK1	GO:0009986; GO:0005576; GO:0009275; GO:0003677; GO:0007155; GO:0009405; GO:0044010
isogroup9000	A0A0H2URK1	GO:0009986; GO:0005576; GO:0009275; GO:0003677; GO:0007155; GO:0009405; GO:0044010
isogroup9213	A0A0H2URK1	GO:0009986; GO:0005576; GO:0009275; GO:0003677; GO:0007155; GO:0009405; GO:0044010
isogroup9364	A0A0H2URK1	GO:0009986; GO:0005576; GO:0009275; GO:0003677; GO:0007155; GO:0009405; GO:0044010
isogroup9384	A0A0H2URK1	GO:0009986; GO:0005576; GO:0009275; GO:0003677; GO:0007155; GO:0009405; GO:0044010
isogroup9472	A0A0H2URK1	GO:0009986; GO:0005576; GO:0009275; GO:0003677; GO:0007155; GO:0009405; GO:0044010
isogroup9586	A0A0H2URK1	GO:0009986; GO:0005576; GO:0009275; GO:0003677; GO:0007155; GO:0009405; GO:0044010
isogroup15283	A0A0H2VDN9	GO:0009986; GO:0019862; GO:0046872; GO:0050777; GO:1902564; GO:0009405
isogroup17036	A0A0H2VDN9	GO:0009986; GO:0019862; GO:0046872; GO:0050777; GO:1902564; GO:0009405
isogroup1905	A0A0H2VDN9	GO:0009986; GO:0019862; GO:0046872; GO:0050777; GO:1902564; GO:0009405
isogroup21682	A0A0H2VDN9	GO:0009986; GO:0019862; GO:0046872; GO:0050777; GO:1902564; GO:0009405
isogroup22114	A0A0H2VDN9	GO:0009986; GO:0019862; GO:0046872; GO:0050777; GO:1902564; GO:0009405
isogroup23780	A0A0H2VDN9	GO:0009986; GO:0019862; GO:0046872; GO:0050777; GO:1902564; GO:0009405
isogroup25245	A0A0H2VDN9	GO:0009986; GO:0019862; GO:0046872; GO:0050777; GO:1902564; GO:0009405
isogroup36999	A0A0H2VDN9	GO:0009986; GO:0019862; GO:0046872; GO:0050777; GO:1902564; GO:0009405
isogroup37939	A0A0H2VDN9	GO:0009986; GO:0019862; GO:0046872; GO:0050777; GO:1902564; GO:0009405
isogroup39013	A0A0H2VDN9	GO:0009986; GO:0019862; GO:0046872; GO:0050777; GO:1902564; GO:0009405
isogroup5344	A0A0H2VDN9	GO:0009986; GO:0019862; GO:0046872; GO:0050777; GO:1902564; GO:0009405
isogroup6060	A0A0H2VDN9	GO:0009986; GO:0019862; GO:0046872; GO:0050777; GO:1902564; GO:0009405
isogroup6636	A0A0H2VDN9	GO:0009986; GO:0019862; GO:0046872; GO:0050777; GO:1902564; GO:0009405
isogroup6659	A0A0H2VDN9	GO:0009986; GO:0019862; GO:0046872; GO:0050777; GO:1902564; GO:0009405
isogroup8075	A0A0H2VDN9	GO:0009986; GO:0019862; GO:0046872; GO:0050777; GO:1902564; GO:0009405
isogroup8232	A0A0H2VDN9	GO:0009986; GO:0019862; GO:0046872; GO:0050777; GO:1902564; GO:0009405
isogroup8347	A0A0H2VDN9	GO:0009986; GO:0019862; GO:0046872; GO:0050777; GO:1902564; GO:0009405
isogroup13718	A0A0H3GGE2	GO:0009279; GO:0009986; GO:0016021; GO:0007155; GO:0009405
isogroup33495	A0A0H3LKL4	GO:0043731; GO:0071949; GO:0019439
isogroup7540	A0A0I9QGZ2	GO:0046872; GO:0004802
isogroup36465	A0A0J9YX94	noMatch
isogroup14991	A0A0M5K865	GO:0005576; GO:0042025; GO:0003677; GO:0009405
isogroup15008	A0A0M5K865	GO:0005576; GO:0042025; GO:0003677; GO:0009405
isogroup150080	A0A0M5K865	GO:0005576; GO:0042025; GO:0003677; GO:0009405
isogroup15146	A0A0M5K865	GO:0005576; GO:0042025; GO:0003677; GO:0009405
isogroup14626	A0A0P0V5U9	GO:0050660; GO:0103075; GO:0004499; GO:0050661; GO:0009851; GO:2000280
isogroup15372	A0A0P0V5U9	GO:0050660; GO:0103075; GO:0004499; GO:0050661; GO:0009851; GO:2000280
isogroup40573	A0A0P0VG31	GO:0005788
isogroup12378	A0A0P0XM10	GO:0048046; GO:0016491; GO:0046208
isogroup16355	A0A0P6JG37	GO:0005615; GO:0005764; GO:0005634; GO:0102121; GO:0017040; GO:0071356; GO:0046513; GO:0046514; GO:0030216; GO:0062098; GO:0050810; GO:0046512
isogroup2661	A0A0R4IBK5	GO:0005829; GO:0016887; GO:0046872; GO:0004842; GO:0008015; GO:0002040; GO:0006511
isogroup28653	A0A0R4IBK5	GO:0005829; GO:0016887; GO:0046872; GO:0004842; GO:0008015; GO:0002040; GO:0006511
isogroup9536	A0A0R4IBK5	GO:0005829; GO:0016887; GO:0046872; GO:0004842; GO:0008015; GO:0002040; GO:0006511
isogroup35740	A0A0R4IFG5	GO:0005930; GO:0097546; GO:0005576; GO:0060271; GO:0003341; GO:0007368; GO:0060287
isogroup36525	A0A0R4IKJ1	GO:0005634; GO:0016422; GO:0099122; GO:1904047; GO:0080009; GO:0045727
isogroup39039	A0A0R4IKJ1	GO:0005634; GO:0016422; GO:0099122; GO:1904047; GO:0080009; GO:0045727
isogroup5702	A0A0R4IKJ1	GO:0005634; GO:0016422; GO:0099122; GO:1904047; GO:0080009; GO:0045727
isogroup7676	A0A0R4IKJ1	GO:0005634; GO:0016422; GO:0099122; GO:1904047; GO:0080009; GO:0045727
isogroup645	A0A0U1LQE1	GO:0000324; GO:0016021; GO:0005524; GO:0016887; GO:0015432; GO:0009405
isogroup24898	A0A0U1LQE6	GO:0016853; GO:0016874; GO:0031177; GO:0009405
isogroup41496	A0A140JWS7	GO:0050660; GO:0004499; GO:0050661
isogroup1443	A0A140N890	GO:0047689; GO:0008881; GO:0042802; GO:0006807
isogroup29629	A0A159BP93	GO:0051213; GO:0046872
isogroup23806	A0A168WVR6	GO:0003875; GO:0046872
isogroup9925	A0A168WVR6	GO:0003875; GO:0046872
isogroup12786	A0A179HKZ8	noMatch
isogroup16204	A0A1B0GV03	noMatch
isogroup24933	A0A1B0GV03	noMatch
isogroup36452	A0A1B0GV03	noMatch
isogroup20941	A0A1B0GWK0	GO:0005861; GO:0051015; GO:0005509; GO:0048306; GO:0006937; GO:0003009
isogroup18558	A0A1B4XBG9	GO:0008168; GO:0017000
isogroup24847	A0A1B4XBG9	GO:0008168; GO:0017000
isogroup29974	A0A1B4XBG9	GO:0008168; GO:0017000
isogroup35393	A0A1B4XBG9	GO:0008168; GO:0017000
isogroup11743	A0A1C3NSL9	GO:0043296; GO:0016324; GO:0016327; GO:0005913; GO:0005911; GO:0036064; GO:0044292; GO:0008092; GO:0046872; GO:0045216; GO:0009792
isogroup37922	A0A1C3NSL9	GO:0043296; GO:0016324; GO:0016327; GO:0005913; GO:0005911; GO:0036064; GO:0044292; GO:0008092; GO:0046872; GO:0045216; GO:0009792
isogroup4459	A0A1C3NSL9	GO:0043296; GO:0016324; GO:0016327; GO:0005913; GO:0005911; GO:0036064; GO:0044292; GO:0008092; GO:0046872; GO:0045216; GO:0009792
isogroup40456	A0A1D5P556	GO:0003779; GO:0017048; GO:0030036; GO:0021516; GO:0048715; GO:0090263; GO:0060828; GO:2000050; GO:0016055
isogroup5197	A0A1D5P556	GO:0003779; GO:0017048; GO:0030036; GO:0021516; GO:0048715; GO:0090263; GO:0060828; GO:2000050; GO:0016055
isogroup23849	A0A1D6IEG9	GO:0009507; GO:0042644; GO:0009570; GO:0042651; GO:0003729; GO:0003727; GO:0010239; GO:0009658; GO:0045727
isogroup2713	A0A1D6IEG9	GO:0009507; GO:0042644; GO:0009570; GO:0042651; GO:0003729; GO:0003727; GO:0010239; GO:0009658; GO:0045727
isogroup39323	A0A1D6IEG9	GO:0009507; GO:0042644; GO:0009570; GO:0042651; GO:0003729; GO:0003727; GO:0010239; GO:0009658; GO:0045727
isogroup40087	A0A1D6IEG9	GO:0009507; GO:0042644; GO:0009570; GO:0042651; GO:0003729; GO:0003727; GO:0010239; GO:0009658; GO:0045727
isogroup42550	A0A1D6IEG9	GO:0009507; GO:0042644; GO:0009570; GO:0042651; GO:0003729; GO:0003727; GO:0010239; GO:0009658; GO:0045727
isogroup5630	A0A1D6IEG9	GO:0009507; GO:0042644; GO:0009570; GO:0042651; GO:0003729; GO:0003727; GO:0010239; GO:0009658; GO:0045727
isogroup7657	A0A1D6IEG9	GO:0009507; GO:0042644; GO:0009570; GO:0042651; GO:0003729; GO:0003727; GO:0010239; GO:0009658; GO:0045727
isogroup9185	A0A1D6IEG9	GO:0009507; GO:0042644; GO:0009570; GO:0042651; GO:0003729; GO:0003727; GO:0010239; GO:0009658; GO:0045727
isogroup284	A0A1D6KL43	GO:0009543; GO:0009535; GO:0031977; GO:0046872; GO:0047134; GO:0009561; GO:0048564; GO:0010027
isogroup33175	A0A1L8F5J9	GO:0030054; GO:0005887; GO:0017146; GO:0045211; GO:0046872; GO:0004972; GO:0051290; GO:0010043
isogroup25877	A0A1L9U7P9	GO:0016874; GO:0031177
isogroup10256	A0A1P8AUY4	GO:0009941; GO:0005730; GO:0005654; GO:0009506; GO:0005524; GO:0016887; GO:0009738; GO:0009553; GO:0048638; GO:0000027; GO:0006364
isogroup40151	A0A1P8B554	GO:0006952; GO:0009617; GO:0009723
isogroup9240	A0A1P8B554	GO:0006952; GO:0009617; GO:0009723
isogroup3186	A0A1X9QDU4	GO:0016021; GO:0005886; GO:0015297; GO:0006813; GO:0006814
isogroup14302	A0A2A5K5H4	GO:0016021; GO:0005886; GO:0015205
isogroup36687	A0A2A5K5H4	GO:0016021; GO:0005886; GO:0015205
isogroup34567	A0A8M2	GO:0005737; GO:0010494; GO:0000932; GO:0032991; GO:1990904; GO:0017151; GO:0003723; GO:0007275; GO:0017148
isogroup36152	A0AUP1	noMatch
isogroup39021	A0AUS0	GO:0004842
isogroup6078	A0AVI2	GO:0016021; GO:0005886; GO:0007520
isogroup34458	A0B5R0	GO:0005737; GO:0004427; GO:0046872
isogroup37368	A0B8V8	GO:0005737; GO:0016272; GO:0051082; GO:0006457
isogroup35581	A0BQL0	GO:0016020; GO:0004724; GO:0046872; GO:0004722
isogroup28294	A0DSB3	GO:0016020; GO:0004724; GO:0046872; GO:0004722
isogroup19536	A0FGR9	GO:0005789; GO:0140268; GO:0031234; GO:0005887; GO:0031227; GO:0044232; GO:0005509; GO:0005544; GO:0031210; GO:0008429; GO:0035091; GO:0061817; GO:0006687; GO:0006869
isogroup33553	A0FGR9	GO:0005789; GO:0140268; GO:0031234; GO:0005887; GO:0031227; GO:0044232; GO:0005509; GO:0005544; GO:0031210; GO:0008429; GO:0035091; GO:0061817; GO:0006687; GO:0006869
isogroup24730	A0FKG7	GO:0005634; GO:0004198
isogroup28205	A0JJX5	GO:0005783; GO:0016021; GO:0008289; GO:0046872; GO:0006869
isogroup28479	A0JJX5	GO:0005783; GO:0016021; GO:0008289; GO:0046872; GO:0006869
isogroup36208	A0JJX5	GO:0005783; GO:0016021; GO:0008289; GO:0046872; GO:0006869
isogroup35690	A0JLY1	noMatch
isogroup16050	A0JM23	GO:0005929; GO:0060271; GO:0090090; GO:2000095; GO:0016055
isogroup20369	A0JM23	GO:0005929; GO:0060271; GO:0090090; GO:2000095; GO:0016055
isogroup21319	A0JM23	GO:0005929; GO:0060271; GO:0090090; GO:2000095; GO:0016055
isogroup355	A0JM23	GO:0005929; GO:0060271; GO:0090090; GO:2000095; GO:0016055
isogroup37971	A0JM23	GO:0005929; GO:0060271; GO:0090090; GO:2000095; GO:0016055
isogroup6101	A0JM23	GO:0005929; GO:0060271; GO:0090090; GO:2000095; GO:0016055
isogroup9812	A0JM23	GO:0005929; GO:0060271; GO:0090090; GO:2000095; GO:0016055
isogroup23552	A0JM59	GO:0005813; GO:0005737; GO:0048471; GO:0004197; GO:0004843; GO:0036459; GO:0008270; GO:0006897; GO:0016579; GO:0071108; GO:0070536; GO:0008277; GO:0006511
isogroup4759	A0JMD2	GO:0005829; GO:0031901; GO:0046872; GO:0032266; GO:0042059; GO:0007175
isogroup23584	A0JMG9	GO:0005794; GO:0030173; GO:0015165; GO:0015136; GO:0008643
isogroup3310	A0JMH0	GO:0016021; GO:0051213; GO:0018193
isogroup36219	A0JMH2	GO:0005576
isogroup5583	A0JMH2	GO:0005576
isogroup24733	A0JMQ7	GO:0005794; GO:0005739; GO:0005634; GO:0005886; GO:0008017; GO:0007049
isogroup22577	A0JMU5	GO:0005737; GO:0016274; GO:0006397
isogroup8214	A0JMU5	GO:0005737; GO:0016274; GO:0006397
isogroup31715	A0JNA3	GO:0005737; GO:0005634; GO:0003938; GO:0046872; GO:0000166; GO:0006177; GO:0006183
isogroup30241	A0JND3	GO:0005788; GO:0016262; GO:0006493
isogroup5141	A0JNI5	GO:0005634; GO:0006397; GO:0008380
isogroup17345	A0JNU3	GO:0003847; GO:0004067; GO:0004622; GO:0016747; GO:0006528; GO:0016042; GO:0006644
isogroup25386	A0JNU3	GO:0003847; GO:0004067; GO:0004622; GO:0016747; GO:0006528; GO:0016042; GO:0006644
isogroup24218	A0JP85	GO:0030014; GO:0030015; GO:0005634; GO:0000932; GO:0030331; GO:0042974; GO:0031047; GO:0033147; GO:0048387; GO:0000122; GO:0017148; GO:0010606; GO:1900153; GO:0060213
isogroup24701	A0JPA0	GO:0016021; GO:0005886; GO:0015095; GO:0015081; GO:0022857; GO:0010960; GO:0015693
isogroup834	A0JPA0	GO:0016021; GO:0005886; GO:0015095; GO:0015081; GO:0022857; GO:0010960; GO:0015693
isogroup18529	A0JPI9	noMatch
isogroup31718	A0JPI9	noMatch
isogroup12185	A0JPP8	GO:0005813
isogroup18841	A0JUU0	GO:0005737; GO:0005525; GO:0003924; GO:0003743
isogroup35156	A0JUU0	GO:0005737; GO:0005525; GO:0003924; GO:0003743
isogroup39356	A0L4B2	GO:0005737; GO:0005525; GO:0003924; GO:0046872
isogroup34417	A0LJ41	GO:0005737; GO:0005524; GO:0031072; GO:0051082; GO:0008270; GO:0006260; GO:0006457; GO:0009408
isogroup35243	A0LMC1	GO:0000287; GO:0050194; GO:0019700
isogroup8805	A0LNW5	GO:0005737; GO:0051539; GO:0050418; GO:0046872
isogroup1439	A0LQM1	GO:0005737; GO:0051539; GO:0046872; GO:0070040; GO:0019843; GO:0002935; GO:0000049; GO:0070475
isogroup22769	A0M575	GO:0005840; GO:0019843; GO:0003735; GO:0006412
isogroup10505	A0MFS9	GO:0034707; GO:0005254
isogroup30525	A0MFS9	GO:0034707; GO:0005254
isogroup10274	A0NLY7	GO:0004061; GO:0016812; GO:0030145; GO:0019441
isogroup12365	A0P8X0	GO:0005576; GO:0004556; GO:0103025; GO:2001070; GO:0005983
isogroup16848	A0PJE2	GO:0016491
isogroup10446	A0PJX2	noMatch
isogroup33501	A0PQ21	GO:0016491; GO:0006629
isogroup38389	A0PQ29	GO:0008168; GO:0006629
isogroup41735	A0PQ29	GO:0008168; GO:0006629
isogroup29823	A0PQC4	GO:0005737; GO:0005525; GO:0003924; GO:0003743
isogroup37381	A0QG83	GO:0008168
isogroup12570	A0QI09	GO:0008686; GO:0005525; GO:0003935; GO:0000287; GO:0030145; GO:0008270; GO:0009231
isogroup24073	A0QJH8	GO:0004300; GO:0006631
isogroup16645	A0QL30	GO:0016491
isogroup21117	A0QNZ7	GO:0005886; GO:0047372; GO:0006633; GO:0016042
isogroup31187	A0QNZ7	GO:0005886; GO:0047372; GO:0006633; GO:0016042
isogroup15625	A0QP18	GO:0016021; GO:0005886; GO:0071555; GO:0006869
isogroup19638	A0QP18	GO:0016021; GO:0005886; GO:0071555; GO:0006869
isogroup23371	A0QP18	GO:0016021; GO:0005886; GO:0071555; GO:0006869
isogroup30719	A0QP18	GO:0016021; GO:0005886; GO:0071555; GO:0006869
isogroup7354	A0QP18	GO:0016021; GO:0005886; GO:0071555; GO:0006869
isogroup14191	A0QV09	GO:0016491
isogroup11482	A0QV10	GO:0016491
isogroup34922	A0QVE4	GO:0005737; GO:0051539; GO:0046872; GO:0070040; GO:0019843; GO:0002935; GO:0000049; GO:0070475
isogroup24664	A0QYL8	GO:0016021; GO:0005886; GO:0055085
isogroup25088	A0QYL8	GO:0016021; GO:0005886; GO:0055085
isogroup41491	A0R043	GO:0033164; GO:0043750; GO:0009247; GO:0009405; GO:0046488; GO:0008654
isogroup32960	A0R0B0	GO:0004739; GO:0006096
isogroup31689	A0R1E8	GO:0005886; GO:0016491; GO:0031177; GO:0016746; GO:0006633
isogroup31019	A0R574	GO:0005524; GO:0019538
isogroup18491	A0R5E1	GO:0005737; GO:0003677
isogroup13735	A0T0C6	GO:0009535; GO:0009523; GO:0009055; GO:0020037; GO:0005506; GO:0018063; GO:0019684; GO:0022904
isogroup23306	A0T0F0	GO:0009535; GO:0045261; GO:0046933; GO:0015986
isogroup28426	A0T0T0	GO:0009535; GO:0016021; GO:0030096; GO:0016168; GO:0045156; GO:0005506; GO:0009772; GO:0018298
isogroup34434	A0T2M3	GO:0005509; GO:0042803
isogroup13396	A0ZT93	GO:0005576; GO:0030246
isogroup26674	A1A4V9	noMatch
